"time","multiSensor_Tpm.T","multiSensor_Tpm3.T","multiSensor_Tpm2.T","multiSensor_Tpm1.T"
0,79.9989286992033,20.023182565106254,20.023182565106254,79.9989286992033
0.2,79.99893010915218,20.02318727948324,42.00813708153453,44.95814118585986
0.4,79.99893044533621,20.023188406736836,40.873210064686475,46.6909239104715
0.6,79.99893049116008,20.02318856003029,40.732294777464176,46.90765927875282
0.8,79.9989304971142,20.02318857994328,40.71420346812533,46.93550059266727
1,79.9989304978842,20.023188582518628,40.711867066566924,46.939095612296114
1.2,79.99893049798288,20.02318858284866,40.7115676611088,46.9395561920835
1.4,79.99893049799641,20.02318858289368,40.711526853921896,46.93961895511063
1.6,79.99893049799834,20.023188582900502,40.71152064192063,46.939628507531665
1.8,79.99893049799869,20.023188582901753,40.711519606700506,46.93963009974266
2,79.9989304979984,20.0231885829009,40.71152033817043,46.939628974610685
2.2,79.99893049799829,20.023188582900502,40.71152068234369,46.93962844534434
2.4,79.99893049799829,20.023188582900048,40.71152111512981,46.93962777972189
2.6,79.99893049799812,20.023188582899763,40.711521425023705,46.93962730290468
2.8,79.99893049799806,20.023188582899593,40.71152151783474,46.93962716013442
3,79.998930497998,20.02318858289965,40.711521435472264,46.93962728680617
3.2,79.99893049799817,20.023188582899934,40.71152117793656,46.939627682920275
3.4,79.99893049799834,20.02318858290039,40.7115207452274,46.93962834847662
3.6,79.9989304979984,20.02318858290073,40.71152048519883,46.93962874842549
3.8,79.99893049799851,20.023188582900843,40.711520396887295,46.9396288842492
4,79.99893049799846,20.023188582900843,40.71152033710507,46.93962897619099
4.2,79.99893049799846,20.023188582900957,40.71152030585216,46.93962902425051
4.4,79.99893049799846,20.0231885829009,40.71152030167218,46.93962903067029
4.6,79.99893049799846,20.023188582900843,40.71152030202438,46.939629030127776
4.8,79.99893049799846,20.023188582900957,40.711520302376584,46.93962902958515
5,79.99893049799846,20.023188582900957,40.711520302728786,46.939629029042635
5.2,79.9989304979984,20.0231885829009,40.7115203030811,46.93962902849984
5.4,79.9989304979984,20.0231885829009,40.711520303433474,46.939629027957324
5.6,79.9989304979984,20.023188582900843,40.71152030378579,46.939629027414696
5.8,79.9989304979984,20.023188582900843,40.71152030413799,46.93962902687218
6,79.99893049799834,20.023188582900957,40.71152030449019,46.9396290263295
6.2,79.99893049799834,20.023188582900957,40.71152030478402,46.93962902587691
6.4,79.99893049799834,20.023188582900957,40.711520304793225,46.93962902586259
6.6,79.99893049799834,20.023188582900957,40.71152030480266,46.93962902584815
6.8,79.99893049799834,20.023188582900957,40.71152030481187,46.93962902583394
7,79.99893049799834,20.0231885829009,40.711520304821306,46.9396290258195
7.2,79.99893049799846,20.0231885829009,40.71152030483063,46.93962902580529
7.4,79.99893049799846,20.0231885829009,40.71152030483995,46.93962902579085
7.6,79.99893049799846,20.0231885829009,40.71152030484927,46.93962902577664
7.8,79.99893049799846,20.0231885829009,40.711520304858595,46.939629025762315
8,79.99893049799846,20.0231885829009,40.71152030486792,46.93962902574776
8.2,79.99893049799846,20.0231885829009,40.71152030487724,46.93962902573344
8.4,79.99893049799846,20.0231885829009,40.71152030488656,46.93962902571923
8.6,79.99893049799846,20.0231885829009,40.71152030489583,46.93962902570479
8.8,79.99893049799834,20.0231885829009,40.71152030490515,46.93962902569035
9,79.99893049799834,20.0231885829009,40.711520304914586,46.93962902567603
9.2,79.99893049799834,20.0231885829009,40.711520304923795,46.939629025661816
9.4,79.99893049799834,20.0231885829009,40.71152030493306,46.93962902564738
9.6,79.99893049799834,20.0231885829009,40.71152030494238,46.93962902563305
9.8,79.99893049799834,20.0231885829009,40.71152030495006,46.93962902562123
10,79.99893049799834,20.0231885829009,40.711520304950284,46.939629025621116
10.2,79.99893049799834,20.0231885829009,40.7115203049504,46.93962902562089
10.4,79.99893049799834,20.0231885829009,40.71152030495051,46.939629025620775
10.6,79.99893049799834,20.0231885829009,40.711520304950625,46.93962902562055
10.8,79.99893049799834,20.0231885829009,40.71152030495057,46.939629025620434
11,79.99893049799834,20.0231885829009,40.71152030495068,46.93962902562009
11.2,79.99893049799834,20.0231885829009,40.711520304950795,46.93962902561998
11.4,79.99893049799834,20.0231885829009,40.71152030495102,46.939629025619865
11.6,79.99893049799834,20.0231885829009,40.71152030495114,46.93962902561964
11.8,79.99893049799834,20.0231885829009,40.71152030495125,46.9396290256193
12,79.99893049799834,20.0231885829009,40.711520304951364,46.93962902561907
12.2,79.99893049799834,20.0231885829009,40.71152030495148,46.939629025618956
12.4,79.99893049799834,20.0231885829009,40.711520304951705,46.93962902561873
12.6,79.99893049799834,20.0231885829009,40.711520304951705,46.939629025618615
12.8,79.99893049799834,20.0231885829009,40.71152030495193,46.9396290256185
13,79.99893049799834,20.0231885829009,40.711520304952046,46.93962902561816
13.2,79.99893049799834,20.0231885829009,40.71152030495216,46.939629025618046
13.4,79.99893049799834,20.0231885829009,40.71152030495216,46.93962902561782
13.6,79.99893049799834,20.0231885829009,40.71152030495227,46.939629025617705
13.8,79.99893049799834,20.0231885829009,40.71152030495239,46.93962902561748
14,79.99893049799834,20.0231885829009,40.7115203049525,46.93962902561725
14.2,79.99893049799834,20.0231885829009,40.711520304952614,46.93962902561714
14.4,79.99893049799834,20.0231885829009,40.71152030495284,46.93962902561691
14.6,79.99893049799834,20.0231885829009,40.711520304952955,46.939629025616796
14.8,79.99893049799834,20.0231885829009,40.71152030495318,46.93962902561668
15,79.99893049799834,20.0231885829009,40.7115203049533,46.93962902561634
15.2,79.99893049799834,20.0231885829009,40.71152030495341,46.93962902561623
15.4,79.99893049799834,20.0231885829009,40.71152030495364,46.939629025616
15.6,79.99893049799834,20.0231885829009,40.71152030495375,46.939629025615886
15.8,79.99893049799834,20.0231885829009,40.71152030495375,46.939629025615545
16,79.99893049799834,20.0231885829009,40.711520304953865,46.93962902561543
16.2,79.99893049799834,20.0231885829009,40.71152030495398,46.93962902561532
16.4,79.99893049799834,20.0231885829009,40.71152030495409,46.93962902561509
16.6,79.99893049799834,20.0231885829009,40.71152030495432,46.93962902561498
16.8,79.99893049799834,20.0231885829009,40.71152030495443,46.93962902561452
17,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
17.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
17.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
17.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
17.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
18,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
18.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
18.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
18.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
18.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
19,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
19.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
19.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
19.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
19.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
20,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
20.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
20.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
20.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
20.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
21,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
21.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
21.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
21.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
21.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
22,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
22.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
22.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
22.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
22.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
23,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
23.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
23.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
23.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
23.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
24,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
24.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
24.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
24.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
24.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
25,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
25.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
25.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
25.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
25.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
26,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
26.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
26.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
26.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
26.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
27,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
27.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
27.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
27.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
27.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
28,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
28.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
28.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
28.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
28.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
29,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
29.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
29.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
29.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
29.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
30,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
30.2,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
30.4,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
30.6,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
30.8,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
31,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
31.2,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
31.4,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
31.6,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
31.8,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
32,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
32.2,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
32.4,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
32.6,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
32.8,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
33,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
33.2,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
33.4,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
33.6,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
33.8,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
34,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
34.2,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
34.4,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
34.6,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
34.8,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
35,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
35.2,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
35.4,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
35.6,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
35.8,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
36,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
36.2,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
36.4,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
36.6,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
36.8,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
37,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
37.2,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
37.4,79.99893049799834,20.0231885829009,40.71152030495455,46.939629025614295
37.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
37.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
38,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
38.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
38.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
38.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
38.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
39,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
39.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
39.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
39.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
39.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
40,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
40.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
40.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
40.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
40.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
41,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
41.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
41.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
41.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
41.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
42,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
42.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
42.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
42.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
42.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
43,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
43.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
43.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
43.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
43.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
44,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
44.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
44.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
44.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
44.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
45,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
45.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
45.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
45.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
45.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
46,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
46.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
46.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
46.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
46.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
47,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
47.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
47.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
47.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
47.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
48,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
48.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
48.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
48.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
48.8,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
49,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
49.2,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
49.4,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
49.6,79.99893049799834,20.0231885829009,40.71152030495455,46.93962902561441
